sourceId,targetId
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|TPN_COMP_UNIT_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|TPN_RANGE_MAX
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|TPN_RANGE_MIN
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|USER_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|USER_INTSET_ENC
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|VISIT_ID
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|WAS_SHOWN_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|WT_COMMENTS
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|WT_RECORD_DATETIME
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|WT_SOURCE_CODE
emr|dbo|ALERT_HISTORY,emr|dbo|ALERT_HISTORY|_SURROGATEKEY
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ACCOMMODATION_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|ADDL_FLAG_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|BED_CONT_DATE_REAL
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|BED_ID
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|BED_LABEL
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|BED_STATUS_CODE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|BED_STAY_ID
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|CENSUS_INCLUSN_FLAG
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|CM_LOG_OWNER_ID
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|CM_PHY_OWNER_ID
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|CONTACT_DATE
emr|dbo|BED_CONFIG,emr|dbo|BED_CONFIG|DFLT_SVC_PRI_CODE
